ADDRTYPE,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,highest_severity,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SPEEDING,ST_COLCODE,ST_COLDESC,HITPARKEDCAR,SHAREDMICROMOBILITYCD,SHAREDMICROMOBILITYDESC,hour,day_of_week,month,AGE_BUCKET_baby,AGE_BUCKET_early_adult,AGE_BUCKET_elementary_school,AGE_BUCKET_full_adult,AGE_BUCKET_high_school,AGE_BUCKET_late_adult,AGE_BUCKET_middle_school,AGE_BUCKET_preschool,AGE_BUCKET_unknown,SDOT_Collision_Type,LATITUDE,LONGITUDE,INCDTTM,DIAGRAMLINK,report_url,SDOTCOLNUM,date
Block,NE 45TH ST BETWEEN 21ST AVE NE AND NE 45TH ST RP,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,11.0,From same direction - both going straight - both moving - sideswipe,N,U,Unknown,11,Wednesday,June,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,-122.30245,47.661255,2025-06-04T11:11:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\76117700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EF98394.pdf,,2025-06-04 11:11:00-07:00
Intersection,JOHN ST AND MINOR AVE N,,,1,Property Damage Only Collision,Pedestrian,2,1,0,1,0,0,0,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,N,Clear,Dry,Daylight,Y,,0.0,Vehicle going straight hits pedestrian,N,U,Unknown,16,Friday,July,,,,,,,,,,Pedestrians,-122.33298,47.619663,2025-07-04T16:37:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\77241371.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3924528.pdf,,2025-07-04 16:37:00-07:00
Block,RAINIER AVE S BETWEEN S FINDLAY ST AND S ORCAS ST,,,1,Property Damage Only Collision,Parked Car,5,0,0,5,0,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Daylight,,,32.0,One parked--one moving,N,U,Unknown,17,Tuesday,July,,,,,,,,,,Other,-122.27787,47.55155,2025-07-08T17:03:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\45149400.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG08186.pdf,,2025-07-08 17:03:00-07:00
Intersection,2ND AVE AND WALL ST,,,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,11.0,From same direction - both going straight - both moving - sideswipe,N,U,Unknown,13,Saturday,June,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,-122.347885,47.61536,2025-06-07T13:28:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\81118800.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EF99342.pdf,,2025-06-07 13:28:00-07:00
Block,5TH AVE NE BETWEEN 130TH ST OFF RP AND NE 130TH ST,,,2,Injury Collision,Other,5,0,0,4,2,0,0,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,N,Clear,Dry,Daylight,,,50.0,Fixed object,N,U,Unknown,16,Monday,July,,,,,,,,,,Other,-122.32357,47.722576,2025-07-07T16:43:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\12280000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG08183.pdf,,2025-07-07 16:43:00-07:00
Block,N 46TH ST BETWEEN PHINNEY TURN RD AND GREEN LAKE WAY N,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Daylight,,,14.0,From same direction - both going straight - one stopped - rear-end,N,U,Unknown,5,Wednesday,July,,,,,,,,,,Other,-122.346794,47.662067,2025-07-02T05:45:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33143900.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG08253.pdf,,2025-07-02 05:45:00-07:00
Intersection,4TH AVE AND UNIVERSITY ST,,,1,Property Damage Only Collision,Angles,4,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Dark - Street Lights On,,,10.0,Entering at angle,N,U,Unknown,22,Tuesday,July,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,-122.33487,47.608227,2025-07-01T22:55:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\88112100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07807.pdf,,2025-07-01 22:55:00-07:00
Block,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,20.0,One car leaving parked position,N,U,Unknown,7,Thursday,June,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Other,-122.33649,47.623203,2025-06-05T07:55:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\76117700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG01821.pdf,,2025-06-05 07:55:00-07:00
Block,S COLUMBIAN WAY BETWEEN BEACON ER AVE S AND 24TH AVE S,,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,20,Saturday,June,,,,,,,,,,Other,-122.30375,47.559727,2025-06-14T20:19:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\43112200.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG02633.pdf,,2025-06-14 20:19:00-07:00
Block,S SPOKANE SR ST BETWEEN 5TH AVE S AND 6TH AVE S,,,1,Property Damage Only Collision,Sideswipe,4,0,0,2,0,0,0,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,11.0,From same direction - both going straight - both moving - sideswipe,N,U,Unknown,19,Thursday,June,,,,,,,,,,Other,-122.32673,47.571415,2025-06-05T19:02:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\76117700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EF99186.pdf,,2025-06-05 19:02:00-07:00
Block,NE RAVENNA WB BV BETWEEN 8TH AVE NE AND RAVENNA BV WB ACCESS RD,,,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Dark - Street Lights On,,,32.0,One parked--one moving,Y,U,Unknown,1,Sunday,June,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Other,-122.31991,47.673767,2025-06-15T01:29:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44149400.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG01066.pdf,,2025-06-15 01:29:00-07:00
Block,S MICHIGAN ST BETWEEN 5TH AVE S AND 5TH PL S,,,2,Injury Collision,Sideswipe,2,0,0,2,1,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Daylight,,,11.0,From same direction - both going straight - both moving - sideswipe,N,U,Unknown,7,Friday,June,,,,,,,,,,Other,-122.32783,47.545803,2025-06-13T07:54:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\65146600.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG01827.pdf,,2025-06-13 07:54:00-07:00
Block,RENTON AVE S BETWEEN 57TH AVE S AND S COOPER ST,NEI,"Not Enough Information, or Insufficient Location Information",1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,,28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,N,Clear,Dry,Daylight,,Y,50.0,Fixed object,N,U,Unknown,16,Friday,July,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,-122.26198,47.51182,2025-07-04T16:54:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\00280000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07817.pdf,,2025-07-04 16:54:00-07:00
Intersection,AIRPORT WAY S AND S ALASKA ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,9,Thursday,June,,,,,,,,,,Other,-122.32313,47.56121,2025-06-26T09:01:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33141100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG05574.pdf,,2025-06-26 09:01:00-07:00
Block,LAKE CITY WAY NE BETWEEN NE 127TH ST AND NE 130TH ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Daylight,,,13.0,From same direction - both going straight - both moving - rear-end,N,U,Unknown,7,Monday,June,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Other,-122.29364,47.721985,2025-06-30T07:42:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66146600.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG05485.pdf,,2025-06-30 07:42:00-07:00
Block,RAINIER AVE S BETWEEN S BAYVIEW ST AND S MCCLELLAN ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,11.0,From same direction - both going straight - both moving - sideswipe,N,U,Unknown,8,Tuesday,June,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Other,-122.29916,47.579674,2025-06-24T08:16:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\87118800.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG05559.pdf,,2025-06-24 08:16:00-07:00
Intersection,6TH AVE S AND S MICHIGAN ST,,,2,Injury Collision,Angles,4,1,0,2,1,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,Y,10.0,Entering at angle,N,U,Unknown,13,Saturday,June,,,,,,,,,,Other,-122.32616,47.54625,2025-06-07T13:15:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\22111100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG01257.pdf,,2025-06-07 13:15:00-07:00
Intersection,EAST MARGINAL WAY S AND S MICHIGAN ST,,,1,Property Damage Only Collision,Angles,4,0,0,3,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,16,Saturday,July,,,,,,,,,,Other,-122.33131,47.54488,2025-07-05T16:20:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\22114400.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07814.pdf,,2025-07-05 16:20:00-07:00
Intersection,5TH AVE AND MADISON ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Dark - Street Lights On,,,10.0,Entering at angle,N,U,Unknown,23,Saturday,June,,,,,,,,,,Other,-122.331795,47.606552,2025-06-28T23:19:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66114400.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3924463.pdf,,2025-06-28 23:19:00-07:00
Intersection,17TH AVE S AND S COLLEGE ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Ice,Dawn,,,10.0,Entering at angle,N,U,Unknown,6,Sunday,July,,,,,,,,,,Other,-122.31078,47.582973,2025-07-06T06:55:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33115500.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07818.pdf,,2025-07-06 06:55:00-07:00
Intersection,LAKE SHORE BLVD NE AND DEAD END,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",N,Clear,Dry,Daylight,,,32.0,One parked--one moving,Y,U,Unknown,16,Tuesday,June,,,,,,,,,,Other,-122.27423,47.697945,2025-06-24T16:46:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\66149600.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG04286.pdf,,2025-06-24 16:46:00-07:00
Intersection,FAIRVIEW AVE N AND MERCER ST,,,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,28.0,From opposite direction - one left turn - one straight,N,U,Unknown,16,Saturday,June,,,,,,,,,,Other,-122.33429,47.624695,2025-06-14T16:54:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\76113300.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG03017.pdf,,2025-06-14 16:54:00-07:00
Block,MARION ST BETWEEN MINOR AVE AND BOYLSTON AVE,,,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,Mid-Block (not related to intersection),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,N,Clear,Dry,Daylight,,,51.0,Other object,N,U,Unknown,6,Tuesday,June,,,,,,,,,,Other,-122.322266,47.60955,2025-06-17T06:19:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\23260000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG02293.pdf,,2025-06-17 06:19:00-07:00
Intersection,LAKE CITY WAY NE AND NE 95TH ST,,,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,9,Monday,June,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other,-122.305466,47.69757,2025-06-09T09:38:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\43119700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EF99344.pdf,,2025-06-09 09:38:00-07:00
Intersection,M L KING JR WR WAY S AND S CLOVERDALE ST,,,2,Injury Collision,Angles,3,0,0,2,2,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,16,Saturday,June,,,,,,,,,,Other,-122.27927,47.526115,2025-06-28T16:49:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44117700.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG07801.pdf,,2025-06-28 16:49:00-07:00
Intersection,24TH AVE S AND S PLUM ST,,,2,Injury Collision,Angles,5,0,0,5,2,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,9,Tuesday,June,,,,,,,,,,Other,-122.30163,47.58549,2025-06-24T09:02:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\33111100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EG05565.pdf,,2025-06-24 09:02:00-07:00
Intersection,15TH AVE AND E YESLER WAY,,,2,Injury Collision,Angles,3,0,0,3,1,0,0,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",N,Clear,Dry,Daylight,,,10.0,Entering at angle,N,U,Unknown,14,Wednesday,June,,,,,,,,,,Other,-122.312874,47.601685,2025-06-04T14:28:00-07:00,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11113300.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EF98147.pdf,,2025-06-04 14:28:00-07:00
